table,project,link,sponsors
27,Message in a Bottle,https://mangohacks.devpost.com/submissions/111135-message-in-a-bottle,"Best Hack for Social Good - Polaroid Cameras, Best Design - Drawing Tablets, Best Webapp using React - Super NES Classic, Best Hack for Residents of multilingual/multicultural cities like Miami - Google Home Hubs, Best Use of 8Base Platform - Nintendo Switch, Best Hack for Leveraging Enhanced Connectivity - Airpods"
28,Eventos,https://mangohacks.devpost.com/submissions/111136-eventos,"Best Design - Drawing Tablets, Best Hack for Residents of multilingual/multicultural cities like Miami - Google Home Hubs, Best Use of 8Base Platform - Nintendo Switch"
29,Visionaries,https://mangohacks.devpost.com/submissions/111137-visionaries,"Best use of Google Cloud Platform - Google Home Minis, Best Hack for Patients, Caregivers & Physicians - Oculus Go"
30,Crowd Control,https://mangohacks.devpost.com/submissions/111141-crowd-control,"Best Beginner - Echo Dots, Best Hack for Leveraging Enhanced Connectivity - Airpods"
31,Yspott,https://mangohacks.devpost.com/submissions/111142-yspott,"Best use of Google Cloud Platform - Google Home Minis, Best Hack for Social Good - Polaroid Cameras, Best Hack for Residents of multilingual/multicultural cities like Miami - Google Home Hubs, Best Use of 8Base Platform - Nintendo Switch"
32,iCare,https://mangohacks.devpost.com/submissions/111143-icare,"Best Webapp using React - Super NES Classic, Best Hack for Patients, Caregivers & Physicians - Oculus Go"
33,Just Run It,https://mangohacks.devpost.com/submissions/111144-just-run-it,"Best use of Google Cloud Platform - Google Home Minis, Best Design - Drawing Tablets, Best Webapp using React - Super NES Classic, Best Domain Registered with Domain.com - Raspberry Pis & PiHut Essential Kits, Best Beginner - Echo Dots, Best Use of 8Base Platform - Nintendo Switch, Best Hack for Leveraging Enhanced Connectivity - Airpods"
34,RemedEve,https://mangohacks.devpost.com/submissions/111146-remedeve,"Best Hack for Social Good - Polaroid Cameras, Best Design - Drawing Tablets, Best Hack for Patients, Caregivers & Physicians - Oculus Go"
35,Health Hub,https://mangohacks.devpost.com/submissions/111147-health-hub,
36,mangohacks-fresh-mango-website,https://mangohacks.devpost.com/submissions/111148-mangohacks-fresh-mango-website,"Best Design - Drawing Tablets, Best Beginner - Echo Dots, Best Use of 8Base Platform - Nintendo Switch",
37,React C&C,https://mangohacks.devpost.com/submissions/111150-react-c-c,"Best Webapp using React - Super NES Classic, Best Use of 8Base Platform - Nintendo Switch"
38,Salute,https://mangohacks.devpost.com/submissions/111162-salute,"Best Hack for Residents of multilingual/multicultural cities like Miami - Google Home Hubs, Best Hack for Patients, Caregivers & Physicians - Oculus Go"
39,"Relax, It's Coming",https://mangohacks.devpost.com/submissions/111165-relax-it-s-coming,"Best Webapp using React - Super NES Classic, Best Domain Registered with Domain.com - Raspberry Pis & PiHut Essential Kits, Best Beginner - Echo Dots"
40,Elucidate,https://mangohacks.devpost.com/submissions/111176-elucidate,"Best Hack for Residents of multilingual/multicultural cities like Miami - Google Home Hubs, Best Use of 8Base Platform - Nintendo Switch, Best Hack for Patients, Caregivers & Physicians - Oculus Go"
41,Complexion,https://mangohacks.devpost.com/submissions/111188-complexion,"Best Beginner - Echo Dots, Best Use of 8Base Platform - Nintendo Switch"
42,MotionControlled Kart,https://mangohacks.devpost.com/submissions/111214-motioncontrolled-kart,"Best Hack for Patients, Caregivers & Physicians - Oculus Go, Best Hack for Leveraging Enhanced Connectivity - Airpods"
43,FourFace,https://mangohacks.devpost.com/submissions/111244-fourface,"Best Beginner - Echo Dots, Best Hack for Social Good - Polaroid Cameras, Best Design - Drawing Tablets, Best Hack for Leveraging Enhanced Connectivity - Airpods, Best use of Google Cloud Platform - Google Home Minis, Best Domain Registered with Domain.com - Raspberry Pis & PiHut Essential Kits"
44,Flower Power,https://mangohacks.devpost.com/submissions/111259-flower-power,"Best Beginner - Echo Dots, Best Hack for Social Good - Polaroid Cameras"
45,MotionControlled Kart,https://mangohacks.devpost.com/submissions/111214-motioncontrolled-kart,"Best Hack for Patients, Caregivers & Physicians - Oculus Go, Best IoT Hack using a Qualcomm Device - DragonBoard 410C's, Best Design - Drawing Tablets, Best Hack for Leveraging Enhanced Connectivity - Airpods"
46,VR Stim,https://mangohacks.devpost.com/submissions/111273-vr-stim,"Best Hack for Social Good - Polaroid Cameras, Best Hack for Patients, Caregivers & Physicians - Oculus Go, Best Beginner - Echo Dots, Best Design - Drawing Tablets, Best Use of SnapKit - Casio Calculator Watch"
47,NoteBuddy,https://mangohacks.devpost.com/submissions/111276-notebuddy,"Best Beginner - Echo Dots, Best Design - Drawing Tablets, Best Use of SnapKit - Casio Calculator Watch"
48,Just a Normal Day, ," "
